pregao,uasg gerenciadora,item,tipo material,descricao,unidade fornecimento,codigoItemAtaSRP,qtd_homologada,qtd_empenhada,saldo_para_empenho,saldo_para_adesao,fim_vigencia,valor_unit_homologado,valor_unit_negociado,cnpj,fornecedor,marca,descricao_detalhada
2/2019,154618,26,Material,150807 - BOMBA CENTRÍFUGA,UNIDADE,34617144,0,0,1,5,21/10/2020,"4.450,0000",-,67.957.720/0001-10,IRENE SARABIA LUQUETTI,Benfer,"BOMBA CENTRÍFUGA, NOME CENTRÍFUGA PARA MICROTUBOS 24 MICROTUBOS (1,5-2,2 ML) COM ROTOR DE ALUMÍNIO PARA 24 PORTA MICROTUBOS - CONSTRUÍDA EM AÇO CARBONO COM PINTURA EPÓXI ELETROSTÁTICA; • CAPACIDADE PARA 12, 24 OU 30 MICROTUBOS DE 1,5 A 2,2 ML; • MOTOR DE INDUÇÃO TRIFÁSICO 220 V, 50/60 HZ, SEM ESCOVA, ACIONADO POR INVERSOR DE FREQUÊNCIA; • RUÍDO INFERIOR A 75DB; • DISPLAY ALFANUMÉRICO 4X20 “BIG NUMBER” COM “BACKLIGHT” AZUL, CARACTERES BRANCOS E TECLADO TIPO SOFT-TOUCH (TOQUE MACIO); • INDICAÇÃO DIGITAL DO RPM, RCF, TEMPO, TAMPA ABERTA E ALARMES; • SELEÇÃO DIGITAL DA VELOCIDADE E DO TEMPO; • CONTROLE DA VELOCIDADE ENTRE 10000 A 15000 RPM PARA ROTOR DE 12 MICROTUBOS E ENTRE 10000 A 14000RPM PARA ROTORES DE 24 E 30 MICROTUBOS; • INCREMENTOS NA VELOCIDADE DE 10 EM 10 RPM OU DE 100 EM 100 RPM; • PROGRAMAÇÃO DE TEMPO ATÉ 99 MINUTOS E 59 SEGUNDOS E AJUSTE DA DATA E HORA; MEMÓRIA PARA SALVAR ATÉ 9 PROGRAMAS; • PÉS TIPO VENTOSA PARA MELHOR ADERÊNCIA E ABSORÇÃO DE VIBRAÇÃO; • SINAL SONORO PARA CADA FUNÇÃO, ALARME SONORO E ABERTURA AUTOMÁTICA DA TAMPA NO TÉRMINO DO PROCESSO; DEMAIS DESCRIÇÕES PRESENTES N TERMO DE REFERÊNCIA"
2/2019,154618,34,Material,44377 - DETECTOR UMIDADE,UNIDADE,34617161,0,0,1,4,21/10/2020,"6.900,0000",-,26.527.362/0001-29,ESFERA MASTER COMERCIAL EIRELI,MARTE,"DETECTOR UMIDADE, NOME ANALISADOR DE UMIDADE – CAPACIDADE: MAX – 60G E MIN – 0,02G; LÂMPADA DE HALOGÊNIO; CONSUMO: 400W; FAIXA DE TEMPERATURA: 50 A 200°C; TAMANHO DO PRATO: 95MM DE DIÂMETRO; DIMENSÕES EXTERNAS: 202×336×157 MM (L×P×A); PESO: 4KG; TEMPERATURA DE OPERAÇÃO: 5 A 40°C; SECAGEM: MODO RÁPIDO; SELEÇÃO DO TEMPORIZADOR: 1 A 120 MIN."
2/2019,154618,38,Material,34703 - FORNO MICROONDAS,UNIDADE,34617169,60,60,0,28,21/10/2020,"614,3600",-,15.733.417/0001-30,J.L. DO B. GUIMARAES - JBX PRODUTOS EIRELI ME,ELECTROLUX MEO44,"FORNO MICROONDAS, NOME FORNO MICROONDAS 34L DE BANCADA MEO44 COM FUNÇÃO TIRA ODOR BRANCO 110V – CONSUMO:CLASSIFICAÇÃO ENERGÉTICA; DIMENSÕES (L X A X P):30 X 53,9 X 42,4 CM; PESO:16 KG; FUNÇÃO DESLIGA-DISPLAY; DISPLAY CENTRALIZADO NA COR AZUL."
2/2019,154618,23,Material,59315 - APARELHO DESTILAÇÃO,UNIDADE,34617138,0,0,1,5,21/10/2020,"2.890,0000",-,18.214.465/0001-00,SOLAB LABORATORIO INDUSTRIA E COMERCIO EIRELI,Solab,"APARELHO DESTILAÇÃO, NOME DESTILADOR DE KJELDAHL SEMI-AUTOMÁTICO •CONSTRUÍDO EM AÇO INOX 304; A DESTILAÇÃO É EXECUTADA NO MESMO TUBO ONDE FOI FEITA A DIGESTÃO ACEITANDO TUBOS DE DIGESTÃO/DESTILAÇÃO DE 25 MM DE DIÂMETRO COM 250 MM DE ALTURA OU DE 50 MM DE DIÂMETRO COM 250 MM DE ALTURA; O VAPOR PODERÁ SER PRODUZIDO UTILIZANDO A ÁGUA DA TORNEIRA, PORÉM RECOMENDA-SE ÁGUA DESTILADA, DEIONIZADA OU OSMOSIFICADA; PRODUÇÃO DO VAPOR POR MEIO DE RESISTÊNCIA TUBULAR BLINDADA; CALDEIRA DE PRODUÇÃO DO VAPOR COM CAPACIDADE DE 2000 ML EM VIDRO REFORÇADO,COM ENCHIMENTO AUTOMÁTICO; NÍVEL DA CALDEIRA COM VISOR FRONTAL E SAÍDA DE DESCOMPRESSÃO DO SISTEMA ATRAVÉS DE TUBOS DE SILICONE; VAPOR FINAL CONDUZIDO ATRAVÉS DE DUTOS DE RESINA ANTIADERENTE (PTFE); SISTEMA DE SEGURANÇA DA CALDEIRA ATRAVÉS DE TERMOSTATOS; SISTEMA DE FIXAÇÃO DO TUBO DE DIGESTÃO/DESTILAÇÃO ATRAVÉS DE MACACO ELEVATÓRIO; SUPORTE PARA O FRASCO ERLENMEYER RECEPTOR DO DESTILADO, COM SISTEMA PARA RECEBER FRASCOS DE VÁRIAS CAPACIDADES; PROTETOR MÓVEL DE SEGURANÇA DO TUBO DE DESTILAÇÃO EM ACRÍLICO; PAINEL FRONTAL COM COMANDOS DAS VÁLVULAS, AQUECIMENTO E ILUMINAÇÃO; DEMAIS DESCRIÇÕES PRESENTES NO TERMO DE REFERÊNCIA."
2/2019,154618,28,Material,59315 - APARELHO DESTILAÇÃO,UNIDADE,34617149,1,1,0,5,21/10/2020,"1.650,0000",-,64.138.944/0001-02,HIPPERQUIMICA DO BRASIL INDUSTRIA E COMERCIO LTDA,Hipperquimica,"APARELHO DESTILAÇÃO, NOME DEIONIZADOR COM BLOQUEIO COM VAZÃO DE 100 (L/H) - DIMENSÕES EXTERNAS: 29 X 36 X 96CM; VOLTAGEM: 110V; POTÊNCIA: 6W; COLUNA EM PVC COM SOLDAGEM TERMOPLÁSTICA; • INDICAÇÃO DE PUREZA DA ÁGUA (BOA/RUIM), ATRAVÉS DE LÂMPADA SINALIZADORA; • FORNECIDO COM SISTEMA B.Q.D. (BLOQUEIO DE QUALIDADE DEFICIENTE); • SISTEMA DE COLUNA INTERCAMBIÁVEL; • FAIXA DE CONDUTIVIDADE DA ÁGUA ENTRE 1ΜS/CM E 20ΜS/CM, VARIÁVEL DE ACORDO COM QUANTIDADE DE ÁGUA PRODUZIDA; • PH ENTRE 6 E 8 NA SAÍDA; • O RENDIMENTO DA ÁGUA DEIONIZADA É TOTAL OU SEJA, TODA A ÁGUA QUE ENTRA, SAI DEIONIZADA; • RESERVATÓRIO DE PEQUENO VOLUME PARA DIFICULTAR O CRESCIMENTO DE FUNGOS E BACTÉRIAS; • EXCLUSIVO RESPIRO PARA ELIMINAR O AR INTERNO; • O RENDIMENTO DA COLUNA SERÁ DE ACORDO COM O BALANÇO IÔNICO DA ÁGUA DE ALIMENTAÇÃO; • ACOMPANHA CARTUCHO DE RESINA DE INTERCAMBIO IÔNICO, MANGUEIRA DE ALIMENTAÇÃO E MANUAL DE INSTRUÇÕES."
2/2019,154618,21,Material,87831 - MAQUINA E APARELHO PARA EXTRACAO DE OLEO / GORDURA ANIMAL,UNIDADE,34617134,0,0,1,4,21/10/2020,"5.000,0000",-,29.274.611/0001-00,XIX LABOR COMERCIAL E SERVICOS EIRELI,LUCADEMA,"MAQUINA E APARELHO PARA EXTRACAO DE OLEO / GORDURA ANIMAL, NOME EXTRATOR DE LIPÍDIOS COM 6 PROVAS: CONSTRUÍDO EM CHAPA DE AÇO EM EPÓXI ELETROSTÁTICO; • RESISTÊNCIA CERÂMICA; • CONTROLE ELETRÔNICO DE TEMPERATURA COM REFERÊNCIA ENTRE OS PONTOS 1 E 10; • CONJUNTO DE VIDRARIA EM BOROSILICATO, COMPOSTO DE REATORES, CONDENSADORES DE GRANDE SUPERFÍCIE DE CONDENSAÇÃO E EXTRATORES COM “STOP FLOW” EM RESINA ANTIADERENTE (PTFE) (06 REBOILER EM VIDRO BOROSSILICATO DE 190ML E 06 CESTO EM AÇO INOX 304); • SUPORTE PARA ACOMODAR OS CONDENSADORES; • REATORES ENCAIXADOS EM SUPORTES DE ALUMÍNIO PARA DAR MAIOR ESTABILIDADE AO CONJUNTO; • SISTEMA DE REFRIGERAÇÃO COM DIVISORES DE FLUXO E ALIMENTADOR ÚNICO, PARA AUMENTAR A PERFORMANCE DA REFRIGERAÇÃO; • CABO DE FORÇA COM DUPLA ISOLAÇÃO E PLUGUE DE TRÊS PINOS, DOIS FASES E UM TERRA, ATENDENDO A NORMA ABNT NBR 14136; ACOMPANHA DEDAIS, SUPORTES METÁLICOS PARA OS DEDAIS, MANGUEIRAS PARA O SISTEMA DE REFRIGERAÇÃO E MANUAL DE INSTRUÇÕES; VOLTAGEM: 220V; DIM. EXTERNAS (CXLXA): 30 X 90 X 46CM; POTÊNCIA: 720W."
2/2019,154618,31,Material,87874 - MAQUINA E APARELHO PARA INDUSTRIA DE BEBIDA / SUCO,UNIDADE,34617155,3,3,0,15,21/10/2020,"1.629,9700",-,12.134.879/0001-43,AIQ FERRAMENTAS E INSTRUMENTOS LTDA,INSTRUTHERM,"MAQUINA E APARELHO PARA INDUSTRIA DE BEBIDA / SUCO, NOME REFRATÔMETRO DE MÃO – 3 FAIXAS DE TRABALHO: 0 - 42%; 42 – 71%; 71 – 90%: APLICAÇÃO: UTILIZADO PARA MEDIR A CONCENTRAÇÃO DE AÇÚCAR, COM ESCALA ESPECIAL PARA MEDIÇÃO DE SUBSTÂNCIAS COM ALTA CONCENTRAÇÃO DE AÇÚCAR COMO O MEL. ESCALAS: 0 - 42% BRIX; 42 - 71% BRIX; 71 - 90% BRIX. EXATIDÃO: 0,2%. RESOLUÇÃO: 0,2% BRIX. DIMENSÕES: 30 X 36 X 200 MM. PRÁTICOS, LEVES; TRABALHAM COM A LUZ NATURAL; EXCELENTE DEFINIÇÃO DO CAMPO VISUAL; OCULAR COM AJUSTE PARA FOCALIZAÇÃO; BAIXO CONSUMO DE AMOSTRA; COM COMPENSAÇÃO AUTOMÁTICA DA TEMPERATURA; ACOMPANHA ESTOJO, CONTA GOTAS E MANUAL DE INSTRUÇÕES."
2/2019,154618,30,Material,43109 - FOTOMETRO,UNIDADE,34617153,0,0,1,4,21/10/2020,"30.000,0000",-,29.274.611/0001-00,XIX LABOR COMERCIAL E SERVICOS EIRELI,MICRONAL,"FOTÔMETRO, NOME ESPECTROFOTÔMETRO UV-VIS DUPLO FEIXE COM VARREDURA (COMPRIMENTO DE ONDA: 190 A 1100 NM) - CONSTRUÍDO EM MATERIAL ULTRA-RESISTENTE, COM ACABAMENTO EM EPÓXI ELETROSTÁTICO; • DISPLAY DE CRISTAL LÍQUIDO DE FÁCIL VISUALIZAÇÃO; • LEITURAS AUTOMÁTICAS EM ABSORVÂNCIA (A) DE 0 A 2,5A, TRANSMITÂNCIA (%T) DE 0 A 125%T E CONCENTRAÇÃO (C) DE 0 A 1999, PRECISÃO FOTOMÉTRICA DE ± 0,5A; • ZERO E 100%T AUTOMÁTICOS; • VARREDURA AUTOMÁTICA ATRAVÉS DO COMPUTADOR; • ACIONAMENTO AUTOMÁTICO DAS LÂMPADAS DE DEUTÉRIO E DE TUNGSTÊNIO/HALOGÊNIO; • FOTODETECTOR TIPO FOTODIODO DE SILÍCIO; • FAIXA DE COMPRIMENTO DE ONDA ENTRE 200NM E 1000NM, PRECISÃO DE ± 2 NM REPRODUTIBILIDADE DE ±1 NM; • INTERFACE RS232 PARA COMPUTADOR; • LARGURA DA BANDA DE PASSAGEM: 2 NM; • OPCIONAL, SISTEMA DE FLUXO CONTÍNUO; • CABO DE FORÇA COM DUPLA ISOLAÇÃO E PLUGUE DE TRÊS PINOS, DOIS FASES E UM TERRA, ATENDENDO A NORMA ABNT NBR 14136; • ACOMPANHA 4 CUBETAS EM VIDRO ÓTICO, 2 CUBETAS EM QUARTZO, SOFTWARE EM CD, CABO DE CONEXÃO AO COMPUTADOR, CABO DE FORÇA, CAPA PLÁSTICA PROTETORA E MANUAL DE INSTRUÇÕES; DIMENSÕES EXTERNAS (CXLXA): 40 X 62 X 37CM; POTÊNCIA: 105W; VOLTAGEM: 110/220V."
2/2019,154618,33,Material,89397 - FILTRO PLANO,UNIDADE,34617159,0,0,1,5,21/10/2020,"1.009,4000",-,13.213.516/0001-66,SAINT VALLEN BIOTECNOLOGIA LTDA,FILTERPRO,"SISTEMA DE FILTRAÇÃO: COMPOSTO POR UM FRASCO DE FILTRAÇÃO (TIPO KITASSATO), FUNIL GRADUADO COM BASE DE VIDRO SINTERIZADO PARA UMA PROVA; • FRASCO DE FILTRAÇÃO COM OLIVA, CAPACIDADE PARA 1L; • ROLHA DE SILICONE; • FUNIL COM BASE DE VIDRO SINTERIZADO COM 47 MM DE DIÂMETRO; • COPO GRADUADO COM CAPACIDADE PARA 250 ML; • ÁREA DE FILTRAÇÃO DE 9,5 CM2; • PINÇA AÇO INOX; • COM ADIÇÃO DE BOMBA DE VÁCUO OU HIDRO-VÁCUO; DIMENSÕES EXTERNAS (CXLXA): 15 X 15 X 45CM."
2/2019,154618,32,Material,20486 - DISPOSITIVO OPTICO - ELETRONICO,UNIDADE,34617156,0,0,1,5,21/10/2020,"2.309,9800",-,07.756.105/0001-14,FLOPTECH COMERCIO DE EQUIPAMENTOS EIRELI,Alfakit,"DISPOSITIVO OPTICO - ELETRONICO, NOME COLORÍMETRO – DISPLAY DE LCD COM 2 LINHAS 16 CARACTERES, COM LUZ DE FUNDO, PARA LEITURAS EM AMBIENTES POUCO ILUMINADOS; • FONTE DE RADIAÇÃO: LED; • DETECTOR TIPO FOTODIODO DE SILÍCIO: • LEITURA EM RGB, ENTRE 400 E 700NM; • REPRODUTIBILIDADE +/- 1,0%; • RESOLUÇÃO DE 0,0 A 500 UC; • O APARELHO ECONOMIZA A BATERIA COM O DESLIGAMENTO AUTOMÁTICO APÓS ALGUM TEMPO SEM UTILIZAÇÃO; • ALIMENTADO COM BATERIA DE 9 VOLTS OU FONTE DE ALIMENTAÇÃO CHAVEADA DE 90 A 240 VOLTS, SAÍDA RS 232; • ACOMPANHA 01 MALETA PARA TRANSPORTE E USO DO APARELHO, 2 CUBETAS CALIBRADAS, 1 PADRÃO DE COR PT/CO 500 UC, INSTRUÇÕES DE USO, BATERIA DE 9 VOLTS E ADAPTADOR CHAVEADO PARA 90 A 240 VOLTS."
2/2019,154618,29,Material,94552 - BIODIGESTOR USO INDUSTRIAL,UNIDADE,34617151,0,0,1,4,21/10/2020,"4.984,0000",-,18.214.465/0001-00,SOLAB LABORATORIO INDUSTRIA E COMERCIO EIRELI,Solab,"BIODIGESTOR USO INDUSTRIAL, NOME DIGESTOR DE FIBRAS - CONSTRUÍDO EM CHAPA DE AÇO REVESTIDA EM EPÓXI ELETROSTÁTICO; • ACOMODA 6 PROVAS SIMULTÂNEAS; • SISTEMA DE AQUECIMENTO ATRAVÉS DE RESISTÊNCIAS BLINDADAS; • CONTROLE ELETRÔNICO DE TEMPERATURA COM REFERÊNCIA ENTRE OS PONTOS 1 E 10; • TEMPERATURA MÁXIMA DE 280°C NA PLATAFORMA; • FIXAÇÃO DOS CONDENSADORES POR MEIO DE PINÇAS REGULÁVEIS; • CONDENSADORES EM VIDRO, COM ENCAIXE PERFEITO PARA COPOS TIPO BÉCKER DE 600 ML (BORDA ALTA); • EXCELENTE REFRIGERAÇÃO ATRAVÉS DE DIVISOR DE FLUXO DA ÁGUA PARA CADA UMA DAS PROVAS; • COLETOR DE ÁGUA DE REFRIGERAÇÃO NA PARTE DE TRÁS DO APARELHO; • CABO DE FORÇA COM DUPLA ISOLAÇÃO E PLUGUE DE TRÊS PINOS, DUAS FASES E UM TERRA, ATENDENDO A NORMA ABNT NBR 14136; DIMENSÕES EXTERNAS: 30 X 86 X 68CM; VOLTAGEM: 220V; POTÊNCIA: 1290W."
2/2019,154618,40,Material,25496 - CRONÔMETRO,UNIDADE,34617173,0,0,0,60,"","","","",,"","CRONÔMETRO - DIGITAL TIPO PROFISSIONAL, CORPO EM PLÁSTICO ULTRA RESISTENTE, COR PRETA, PRECISÃO EM CENTÉSIMOS, DISPLAY DE HORÁRIO (12 OU 24 H), POSSUI ALARME, RESISTÊNCIA A ÁGUA E QUEDA. CONTÉM 3 BOTÕES: START/STOP, MODE, SPLIT/RESET"
2/2019,154618,24,Material,150807 - BOMBA CENTRÍFUGA,UNIDADE,34617140,0,0,1,5,21/10/2020,"7.067,9900",-,12.561.319/0001-75,NOVAINSTRUMENTS EQUIPAMENTOS PARA LABORATORIO LTDA,novatecnica,"BOMBA CENTRÍFUGA, NOME CENTRÍFUGA MICROPROCESSADA PARA TUBOS - CONSTRUÍDA EM AÇO CARBONO COM PINTURA EPÓXI ELETROSTÁTICA; • ROTORES E SUPORTES COM CAPACIDADE PARA: (QUANTIDADE DE TUBOS X CAPACIDADE EM ML):16X10 - 16X15 - 4X50 - 2X100 - 16X1,8 - 16X2 - 16X3,5 - 16X4 E 16X5; • CAPACIDADE MÁXIMA DE 240 ML COM DENSIDADE DE ATÉ 1,2 KG/DM³; • MOTOR DE INDUÇÃO TRIFÁSICO 220 V, 50/60 HZ, SEM ESCOVA, ACIONADO POR INVERSOR DE FREQUÊNCIA; • RUÍDO INFERIOR A 75DB; • DISPLAY ALFANUMÉRICO 4X20 “BIG NUMBER” COM “BACKLIGHT” AZUL, CARACTERES BRANCOS E TECLADO TIPO SOFT-TOUCH (TOQUE MACIO); • INDICAÇÃO DIGITAL DO RPM, RCF, TEMPO, TAMPA ABERTA E ALARMES; • SELEÇÃO DIGITAL DA VELOCIDADE E DO TEMPO; • CONTROLE DA VELOCIDADE ENTRE 300 A 4000RPM, COM INCREMENTOS DE 10 EM 10RPM OU DE 100 EM 100RPM; • PROGRAMAÇÃO DE TEMPO ATÉ 99 MINUTOS E 59 SEGUNDOS, AJUSTE DA DATA E HORA; • PRECISÃO DA VELOCIDADE EM RPM DE ±0,1%; • SELEÇÃO DE IDIOMAS, PORTUGUÊS, INGLÊS OU ESPANHOL; • MEMÓRIA PARA SALVAR ATÉ 9 PROGRAMAS; • SELEÇÃO DO TIPO DE SUPORTE DE TUBOS; PÉS TIPO VENTOSA PARA MELHOR ADERÊNCIA E ABSORÇÃO DE VIBRAÇÃO; DEMAIS DESCRIÇÕES CONFORME TERMO DE REFERÊNCIA."
2/2019,154618,22,Material,94552 - BIODIGESTOR USO INDUSTRIAL,UNIDADE,34617136,0,0,1,4,21/10/2020,"4.868,0000",-,18.214.465/0001-00,SOLAB LABORATORIO INDUSTRIA E COMERCIO EIRELI,Solab,"BLOCO MICRODIGESTOR DE KJELDAHL MICROPROCESSADO - CONSTRUÍDO EM AÇO INOX; • BLOCO AQUECEDOR EM ALUMÍNIO; • TEMPERATURA MÁXIMA: 400°C; • CAPACIDADE MÁXIMA: 42 PROVAS SIMULTÂNEAS; • SUPORTE DOS TUBOS EM ALUMÍNIO COM ALÇAS PARA TRANSPORTE, PARA SEREM COLOCADOS OU RETIRADOS DE UMA SÓ VEZ; • CONTROLADOR ELETRÔNICO MICROCONTROLADO DA TEMPERATURA COM DUPLO DISPLAY, COM AS FUNÇÕES DE: SET POINT, AUTO SINTONIA E PID; • SENSOR TIPO PT 100, COM SENSIBILIDADE DE ± 0,1°C; • CABO DE FORÇA COM DUPLA ISOLAÇÃO E PLUGUE DE TRÊS PINOS, DUAS FASES E UM TERRA, ATENDENDO A NORMA ABNT NBR 14136; • ACOMPANHA 42 TUBOS DE ENSAIO COM DIÂMETRO DE 25 MM X 250 MM COM ORLA, SUPORTE DOS TUBOS EM ALUMÍNIO COM ALÇAS E MANUAL DE INSTRUÇÕES; DIMENSÕES EXTERNAS (CXLXA): 40 X 50 X 35CM; VOLTAGEM: 220V; POTÊNCIA: 2000W."
