item,descrição,id,quantidade empenhada
252,103098 - FRUTA - CONCENTRADO / POLPA,33175621,3
253,217796 - SUCO,33175622,3
254,241598 - SUCO,33175623,3
255,217794 - SUCO,33175624,43
256,259679 - SUCO,33175625,43
257,376111 - PRESUNTO,33175626,2
258,317245 - PRESUNTO,33175627,41
259,231837 - QUEIJO,33175628,21
260,320101 - QUEIJO,33175629,5
261,407334 - QUEIJO,33175630,44
262,5681 - QUEIJO,33175631,44
263,216793 - REQUEIJÃO,33175632,92
264,216774 - RICOTA,33175633,14
265,304428 - SALAME,33175634,3
266,226699 - ÁGUA SANITÁRIA,33175635,200
267,269941 - ÁLCOOL ETÍLICO,33175636,200
268,269943 - ÁLCOOL ETÍLICO,33175637,0
269,388801 - DESINFETANTE,33175638,60
270,251594 - DETERGENTE ÁCIDO,33175639,300
271,255601 - DETERGENTE,33175640,480
272,241343 - FÓSFORO,33175641,100
273,332971 - SABÃO PÓ,33175642,150
274,422221 - SABONETE,33175643,60
275,102407 - SABAO LIQUIDO,33175644,15
276,310970 - TALHER DESCARTÁVEL,33175645,10
277,226344 - COPO DESCARTÁVEL,33175646,30
278,226342 - COPO DESCARTÁVEL,33175647,100
279,225796 - COPO,33175648,50
280,232730 - COPO DESCARTÁVEL,33175649,50
281,310969 - TALHER DESCARTÁVEL,33175650,0
282,320167 - TALHER DESCARTÁVEL,33175651,20
283,292281 - GUARDANAPO DE PAPEL,33175652,650
284,304173 - LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,33175653,30
285,416061 - LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,33175654,70
286,405575 - LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,33175655,30
287,375837 - LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,33175656,0
288,423464 - LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,33175657,0
289,397749 - MÁSCARA DESCARTÁVEL USO GERAL,33175658,10
290,293875 - PALITO,33175659,0
291,221317 - PALITO,33175660,10
292,221390 - PAPEL ALUMÍNIO,33175661,50
293,426598 - PAPEL FILME,33175662,10
294,234154 - TOALHA DE PAPEL,33175663,300
295,303248 - PRATO,33175664,30
296,435573 - PRATO,33175665,30
297,364463 - PRATO,33175666,50
298,372768 - PRATO,33175667,50
299,150577 - SACO,33175668,100
300,228525 - SACO PLÁSTICO LIXO,33175669,10
301,233909 - SACO PLÁSTICO LIXO,33175670,10
302,313359 - SACO,33175671,3
303,395470 - SACO,33175672,0
304,369561 - TOUCA,33175673,10
305,343299 - HIPOCLORITO DE SÓDIO,33175674,10
306,290545 - AVENTAL,33175675,6
307,400963 - AVENTAL,33175676,10
308,240136 - AVENTAL,33175677,10
309,368379 - ESCOVA,33175678,30
310,380189 - ESPONJA LIMPEZA,33175679,200
311,283237 - ESPONJA LIMPEZA,33175680,500
312,389924 - LUVA DE PROTEÇÃO,33175681,2
313,371135 - PÁ COLETORA LIXO,33175682,10
314,352424 - PANO LIMPEZA,33175683,0
315,137057 - PANO LIMPEZA,33175684,15
316,30228 - RODO,33175685,0
317,220583 - BOTIJÃO GÁS LIQUEFEITO DE PETRÓLEO - GLP,33175686,80
318,233976 - BOTIJÃO GÁS LIQUEFEITO DE PETRÓLEO - GLP,33175687,0
319,332485 - ÁGUA MINERAL,33175688,1000
320,418257 - PIMENTA DO REINO,33175689,14
321,232597 - PÃO,33175690,250
322,259662 - PÃO,33175691,250
323,352392 - LUVA BORRACHA,33175692,0
324,333265 - LUVA BORRACHA,33175693,0
